Sinhala,Tamil,Class
කඩල්වෙලි,கடல்வெளி,Tamil
වැලිකොන්ද,வெலிகொந்த,Sinhala
ඉහල ඇල්ලගම,இஹலஎல்லகம,Sinhala
හඳපාන්ගලගෙ අයින,ஹந்தபான்கல ஐன,Sinhala
දලුවතුමුල්ල,தலுவதுமுல்ல,Sinhala
අලුත්වෙල,அலுத்வெல,Sinhala
මානාන උඩුමුල්ල,முனஸிங்ஹ குடியிருப்பு,Sinhala
ධර්මපාල මාවත,தர்மபாலமாவத்தை,Sinhala
උරුම්පිරායි නැගෙනහිර කොටස,இருளன்,Tamil
වාල්කෛපෙට්ටාන් කණ්ඩල්,வாழ்கைபெற்றான் கண்டல்,Tamil
හෑගොඩ අගුල,எரமுல்ல,Sinhala
කොරටිය,கொரவிய,Sinhala
බතලවත්තවිල,பதலவத்தவில,Sinhala
කුමාරපලම්,குமாரப்புலம்,Tamil
සරණපාල මාවත,சரணபால மாவத்தை,Sinhala
කෝන්ගහදෙනිය,கோங்கஹதெணிய,Sinhala
ගුරුකන්ද,குருகந்த,Sinhala
කෝරෛවයල්,கோரைவயல்,Tamil
සූරිපුරාන්,சூரிபுரம்,Tamil
ආරච්චිගොඩ,ஆரச்சகொட,Sinhala
ගොඩවින්න,கொடவென்ன,Sinhala
අලුත්ගම් පැලැස්ස,அலுத்கம் பெலெஸ்ஸ,Sinhala
මහේන්ද්රාවත්ත,மஹேந்தா வத்த,Sinhala
කොක්කුපඩෛයාන්,கொக்குபடையான்,Tamil
අමුණුවෙල,அமுனுவெல,Sinhala
නිත්තියඔලි,நித்திய ஔி,Tamil
දෙනියාය(කොටස),தெனியாய பகுதி,Sinhala
උද්යාන මාවත,உத்யான மாவத்தை,Sinhala
මොහොට්ටිවත්ත,கொல்வின் ஆர். டி. சில்வா மாவத்தை,Sinhala
7 කණුවගම,7 கணுவேகம,Sinhala
මුරිප්පු,முறிப்பு,Tamil
දෙනියාය,தெணியாய,Sinhala
නිකේබැද්ද,நிக்கேபெத்த,Sinhala
ආලන්කුලම්,ஆலங்குளம்,Tamil
තංගල්ල පාර කොටසක්,தங்கல்ல வீதியின் பகுதி,Sinhala
ඔබ්බේගොඩ,ஒப்பேகொட,Sinhala
කිරළකැටිය,கிரழகடிய,Sinhala
ආඳාදොල පලමු පටුමග,அதாதொல முதலாவது ஒழுங்கை,Sinhala
කැප්පිටියාගොඩ,கெப்பிடியகொட,Sinhala
ඡුල්පල්ලම,ஜூல்பல்லம,Sinhala
හෙලගම පාර,ஹெலகம வீதி,Sinhala
කුමුල මෝඩිඩෛ,குமுளமோட்டை,Tamil
හිඟුරුපත්තල කොටසක්,ஹிங்குருபத்தல பகுதி,Sinhala
පරවෛ වෙලි,பறவைவெளி,Tamil
ගඟඅද්දර පාර,நதியோர பாதை,Sinhala
මාපාකඩ ව්යාපාරයේ යාය 02 කොටසක්,மாபாகட வியாபார யாயே 2பிரிவொன்று,Sinhala
කිරවනාඇල්ල,கிரவனாஎல்ல,Sinhala
රණවරණාව,ரணவரணாவ,Sinhala
මුදන්නාගොඩ,முதுன்னாகொட,Sinhala
කීනගහකඳුර,தியககனதுர,Sinhala
කොන්තැන්න,கொன்தென்ன,Sinhala
මහමුදලි මාවත,மஹமுதலி மாவத்த,Sinhala
කරුක්කායිතීවු,கறுக்காய்த்தீவு,Tamil
සෙම්පාඩ්ඩතෝඩ්ඩම්,செம்பட்டன்தோட்டம்,Tamil
ඥානි ආලන්කුලම්,ஞானி ஆலங்குளம்,Tamil
පුවක්ගහහේන,புவக்கஹஹேன,Sinhala
කරාපුපුකුත්ති,கரப்புக்குத்தி,Tamil
මහගෙදර වත්ත,மஹகெதர வத்த,Sinhala
වැටහිර,வெடஹிர,Sinhala
පෙරියපුලියන්කුලම්,பெரிய புளியன்குளம்,Tamil
පුවක්වත්ත,புவக்வத்த,Sinhala
සරසාලෙයි මැද,சரசாலை மத்தி,Tamil
විලාත්ති කුලම්,விளாத்திகுளம்,Tamil
උදයනගර් නැගෙනහිර,சிறி நாகதம்பிரான் வீதி,Tamil
වලකඩ,வலகட,Sinhala
කු. ග. 04 වම් ඉවුර,வம் இவுர குடாகம 04,Sinhala
බලයාගේගොඩ,பாலயகேகொட,Sinhala
දෙයියන්දර,தெய்யந்தர,Sinhala
රහතන් ගම,ரகத்தன் கம,Sinhala
වේප්පංකුළම්,வேப்பங்குளம்,Tamil
කුඩුකන්න,குடுகன்ன,Sinhala
අල්ලැයම්පති,அல்லையம்பதி,Tamil
සාරභූමිය,சாரபூமிய,Sinhala
36 කණුව දකුණ,36 கட்டை தெற்கு,Sinhala
කරුන්කාලිමෝඩ්ඩෛ,கருங்காளிமோட்டை,Tamil
ඒලුවෙලි,எழுவெளி,Tamil
කයිලත්ත,கைலத்த,Sinhala
නාත්තවිල,நாத்தவில,Sinhala
සුරියගොල්ල,சூரியகொல்ல,Sinhala
පල්ලේපතන,பல்லே பதன,Sinhala
තෙල්ලඹුර දකුණ,தெல்லபுர தெற்கு,Sinhala
කුංජුපුලියංකුළම්,குஞ்சிபுளியங்குளம்,Tamil
මුත්තොලිර් කිරාමම්,முததொனி மாதிரி கிராமம்,Tamil
වැලිමඩයාය,வெலிமடயாய,Sinhala
ජයබිම බටහිර,ஜயபிம மேற்கு,Sinhala
ලුණුගල්ල,லுனுகல்ல,Sinhala
කුරුසුප්පාඩු,புதுக்குடியிருப்பு,Tamil
කල්මඩු තේත්තාවාඩි,கல்மடுதொட்டாவாடி,Tamil
සංකිස්සවත්ත,சங்கிஸ்ஸவத்த,Sinhala
කිරිසුඩ්ඩාන් දේවපුරම්,கீரிசுட்டான் (தேவபுரம்),Tamil
පිල්ලයනාර්කුලම්,பிள்ளையனார்குளம்,Tamil
ඕවකන්ද,ஓவகந்தயின் ஒரு பகுதி,Sinhala
කොස්ගොල්ල,கொஸ்கொல்ல,Sinhala
හිරිදෙනිකන්ද,ஹிரிதெணிகந்த,Sinhala
ඊරියගහවත්ත,ஈரியகஹவத்த,Sinhala
කොත්තියාවත්තෙයි,கொத்தியாவத்தை,Tamil
සකලාන්තුවෙලි උතුර,சகலதுவெளி வடக்கு,Tamil
හල්දොලහේන,ஹல்தொலஹேன,Sinhala
විල්ලඩි,வில்லடி,Tamil
බදුංගල,பதுங்கல,Sinhala
හුලංකන්ද,வதுகந்த,Sinhala
කන්දමලේවත්ත,கந்தமலை வத்த,Sinhala
වතුරාව,வதுராவ,Sinhala
ඉරවැන්දුම්පොල ගම කොටස,இருவந்தம்பொல,Sinhala
නෙල්ලිගොඩ,நெல்லிகொட,Sinhala
බටේබැද්ද,பட்டேபெத்த,Sinhala
කළුවඩුමුල්ල පාර කොටසක්,கலுவடுமுல்ல பாதை பகுதி,Sinhala
අක්කරමහකිවුල,அக்கர மஹகிவுல,Sinhala
මාහේන්ගොඩ,தலவெலகொட,Sinhala
යහනගලගම,யஹங்கலகம,Sinhala
උඩහවත්ත,உடஹாவத்த,Sinhala
පොල්හේන,பொல்ஹேன,Sinhala
කුරුසුක්කොවිල්,குருசுக் கோயில்,Tamil
මඩමගම,மடமகம,Sinhala
මූන්රුමුරිප්පු,மூன்று முறிப்பு,Tamil
කුඩාබිඹුළ දකුණ,குடா புபுல தெற்கு,Sinhala
නවෝදාගම,நவோதகம,Sinhala
කල්නාට්ටින්කුළම්,கல்நாட்டினகுளம்,Tamil
මාලිම්බඩ නැගෙනහිර,மாலிம்பட கிழக்கு,Sinhala
කුඩාබැදිගම ඉහල,குடா பெதிகம இஹல,Sinhala
පත්තිනිගොඩ,பத்தினிகொட,Sinhala
පැලැන්දගොඩ,பெலெந்தகொட,Sinhala
කොළඹ පාර,கொழும்பு வீதி,Sinhala
බ්ලැක්වුඩ් වත්ත,பிளக்வூட் தோட்டம்,Sinhala
තැන්න නගරය,தான்ஜனநகரய,Sinhala
මකුළුවහේන,மக்குளுவஹேன,Sinhala
තල්ගස්වල,தல்கஸ்வல,Sinhala
පොල්ගහගොඩ,பொல்கஹகொட,Sinhala
මණ්කිණ්ඩී,மண்கிண்டி,Tamil
අරුහෝඩෛ දකුණ,அருகோடை தெற்கு,Tamil
ඔයාර්සින්නකුළම්,ஒயார்சின்னக்குளம்,Tamil
අඹගහඅරාව,அம்ப கஹ அராவ,Sinhala
පන්සලගොඩ,பந்ஸலகொட,Sinhala
ඕකුරුවාව,ஒக்குருவாவ,Sinhala
ඇදගලහින්න,எந்தகலஹின்ன,Sinhala
අම්ඹේගමුව,அம்பேகமுவ,Sinhala
වලගෙදර කොටසක්,வலகெதர,Sinhala
කිරිවැල්දෙණිය,கிரிவெல்தெணிய,Sinhala
ආදර්ශ ගොවිපල,மாதிரி விவசாய பண்ணை,Sinhala
ඉඳිකැටිය,இந்திகெடிய,Sinhala
හීගල්දූව පාර කොටසක්,ஹிகல்துவ பாதை பகுதி,Sinhala
මලෛයාලපුරම් උතුර,மலையாளபுரம் வடக்கு,Tamil
මාලිම්බඩ බටහිර,மாலிம்பட மேற்கு,Sinhala
තිරුවෛයාරු විල්සන් වීදිය,திருவையாறு வில்சன் வீதி,Tamil
චන්දාතෝඩ්ඩම්,சந்தாதோட்டம்,Tamil
පිටුවල කන්ද,பிட்டுவல கந்த,Sinhala
මාරිසන්කූඩල්,மயிலங்கூடல்,Tamil
සායිබු පුලියන් කුලම්,சாய்பு புளியன்குளம்,Tamil
රක්කිත්තාකන්ද,ரக்கித்தாகந்த,Sinhala
පුවක්හේන,புவக்ஹேன,Sinhala
කදිරන්දොළ,கதிரந்தொல,Sinhala
අත්තුඩාව කොටසක්,அத்துடாவபகுதி,Sinhala
පාරහේන,பரஹேன,Sinhala
අත්තරෛප්පනෛවෙලි,அத்தரப்பனைவெளி,Tamil
ලෝකන්වත්ත,லோகனவத்த,Sinhala
තන්ඩුවාන්,தான்டுவான்,Tamil
තුප්පහිගොඩ,துப்பஹெகொட,Sinhala
බටුහේනවත්ත,பட்டுஹேனவத்த,Sinhala
අපේගම,அபேகம,Sinhala
හල්වතුර නිවාස යෝජනා ක්රමය,ஹல்வதுர வீடமைப்புதிட்டம்,Sinhala
ඉලුක්තැන්න,இலுக்தென்ன,Sinhala
කොටපොල කොටසක්,கொட்டபொல பகுதி,Sinhala
පාරන්කික්කමම්,பரங்கிக்காம்,Tamil
නියාගම කොටස,நியாகமயின் ஒரு பிரிவு,Sinhala
කිරින්දළාහේන,கிரிந்தளாஹேன,Sinhala
කොළේදණ්ඩ,கொலேதண்ட,Sinhala
03 වන කොට්ඨාශය,3ம் வட்டாரம்,Tamil
පිලදුව,பிலதுவ,Sinhala
වදිනහෙ යාය,வதினகே யாய,Sinhala
දළුක්හින්න,தலுக்ஹின்ன,Sinhala
කන්දිල්පාන,கந்தில்பான,Sinhala
තායිමලේ වත්ත,தாய்மலே தோட்டம்,Sinhala
බණ්ඩාරනායකපුර,பண்டாரநாயகபுர,Sinhala
වේවැල්වල,வேவெல்வல,Sinhala
වීරපත්තිරර් කෝවිලඩි,வீரபத்திரர் கோவிலடி,Tamil
බොරදිය ඇල්ල,பொரதிய எல்ல,Sinhala
සෙබස්තියාර් කෝවිලඩි,செபஸ்தியார் கோவிலடி,Tamil
අල්වායි උතුර,அல்வாய் வடக்கு,Tamil
හිඟුරහේන,ஹிங்குரஹேன,Sinhala
වලස්මුල්ල ඉහලගොඩ,வலஸ்முல்ல இஹலகொட,Sinhala
ආරචිචිකන්ද,ஆராச்சிகந்த,Sinhala
උඩකන්දේගම,உடகந்தேகம,Sinhala
කෝන්දෙනිය වත්ත,கோன்தெனிய வத்த,Sinhala
පත්තලඩිප්පාඩු,பந்தலடிப்பாடு,Tamil
හැව්ඕවිට කොටසක්,ஹாவோவிட்ட பகுதி,Sinhala
4 වන යුනිට,4 வது அலகு,Tamil
කුමරේසන්කුලම්,குமரேசன்குளம்,Tamil
මොටමුල්ලගොඩ,வலவெல உடஹா,Sinhala
ධ්ම්මයුත්තිකාරාම පාර,தம்மயுக்திகாராம பாதை,Sinhala
මායාකඩුව,மாயாகடுவ,Sinhala
වරකපිටි කන්ද,வரகபிடி கந்த,Sinhala
රිල්ලහේන,ரில்லஹேன,Sinhala
කන්දෙගෙදරවත්ත,பெனிவெலதென்ன,Sinhala
හබරාදුගොඩ,ஹபராதுகொட,Sinhala
වලගෙවත්ත,வலகெவத்தை,Sinhala
දික්කැන්දයාය ගම,திக்கெந்தயாய கம,Sinhala
පල්ලන් සීමා,பள்ளஞ்சீமா,Tamil
ජම්ඹුගස්හේන,ஜம்புகஸ்ஹேன,Sinhala
පාලතඩි,பாலத்தடி,Tamil
කදිරන්දොළ,கதிரந்தொல,Sinhala
හොළුවාගොඩ,ஹொலுவாகொட,Sinhala
පල්ලෙවතුගොඩ,கல்லேவதுகொட,Sinhala
වීරවිල නව නගරය,வீரவில புதிய நகரம்,Sinhala
වණ්ණාත්තික්කල්ලු,வண்ணாத்திக்கல்லு,Tamil
නුවරඑළිය පාර,நுவரெலிய வீதி,Sinhala
පානගමුව පෙදෙස,பன்னகமுவ (பிரிவு),Sinhala
කළුවලගොඩ වත්ත,களுவலகொடவத்தை,Sinhala
පල්ලිමුල්ල කොටසක්,பல்லிமுல்ல பகுதி,Sinhala
නෙඩුප්පුලම්,நெடும்புலம்,Tamil
පච්චෛප්පුල්මෝඩ්ඩෛ,பச்சைப்புல்மோட்டை,Tamil
වණ්ණාන්කේනි උතුර,வண்ணாங்கேணிவடக்கு,Tamil
රජසරණගම,ராஜஸாரன்கம,Sinhala
වරාහේන / කුරුඳුවත්ත,வராஹேன/குருந்து வத்தை,Sinhala
ඩී 02,D 02,Sinhala
කොලේවත්ත කොටසක්,கொலேவத்தயின் ஒரு பிரிவு,Sinhala
ඇන්නපිටිය පාර,அத்தனபிடிய வீதி,Sinhala
ඇල්ලවත්තගම,எல்லவத்தகம,Sinhala
ඉදාන,இத்தான,Sinhala
ඇල්ල,எல்ல,Sinhala
වරාත්තුපළෙයි,வராத்துப்பளை,Tamil
නෙටලපෝරුව,நெதலபோருவ,Sinhala
මාර්තුපිටිය,மார்துபிடிய,Sinhala
ඉමදුව පාර ( කොටසක් ),இமதுவ வீதி,Sinhala
පොන්නගර් බස්නාහිර,பொன்னகர் மேற்கு,Tamil
ඉංදොලවත්ත,இங்தொலவத்த,Sinhala
ගවරවෙල,கவரவெல,Sinhala
බන්ගලාකන්ද,பங்களாவத்தை,Sinhala
දංකැටියගොඩ,தங்கெடியகொட,Sinhala
හිඟුරේයාය,ஹிங்குரேயாய,Sinhala
පොල්හුන්නාව ( කොටසක් ),பொல்ஹூன்னாவ (பகுதி),Sinhala
බෙලිඅත්ත නගරය,பெலியத்த நகரம்,Sinhala
අකුරළ කොටසක්,அகுரலயின் ஒரு பிரிவு,Sinhala
රෝහල්අසල,ஆஸ்பத்திரி வலயம்,Tamil
කහගල්පොත්ත,கஹகல்பொத,Sinhala
තයිඩ්ඩිපුලම්,தையிட்டிப்புலம்,Tamil
ගල්පැලැස්ස,கல்பெலெஸ்ஸ (பிரிவு),Sinhala
බටුවන්කන්ද,படுவன்கந்த,Sinhala
ප්රම්පඩි,பிரம்படி,Tamil
ඉහලහේන,இஹலஹேன,Sinhala
මොරගොඩ,மொறகொட,Sinhala
කටුවැවගොඩ,கடுவெவகொட,Sinhala
මිල්ලත්තාව,மில்லத்தாவ,Sinhala
පුඩලුමුල්ල,புடளுமுல்ல,Sinhala
කඳහේන,கந்தகேன,Sinhala
වෙහෙරගල්ල පාර,வெஹரகல்ல வீதி,Sinhala
මාලියගොඩ,மாலியகொட,Sinhala
පංගුවත්තගම,பங்குவத்தகம,Sinhala
හුණුගල අගල,ஹுனுகல அகல,Sinhala
වඩ්ඩුවත්තැයි,வட்டுவத்தை,Tamil
මැදඅතුරහේන,அதுபேகந்த,Sinhala
පල්ලේමුළන,பல்லேமூலன,Sinhala
ගල්බොක්ක,கல்பொக்க,Sinhala
කොලොම්බැද්ද,கலொம்பெத்த,Sinhala
පරප්පුකඩන්තාන් නැගෙනහිර,பரப்புகடந்தான் கிழக்கு,Tamil
වැලිවත්ත ගම,வெலிவத்த கம,Sinhala
දෙවන පටුමග,இரண்டாவது ஒழுங்கை,Sinhala
වීනියවලෙයි,வீனியவரை,Tamil
සුන්දරරාජ් කුඩියිරුපු,சுந்தரராஜ் குடியிருப்பு,Tamil
ශාන්ත ජේම්ස් වත්ත පහළ කොටස,சென் ஜேம்ஸ் வத்த கீழ் பிரிவு,Sinhala
එඬේරගොඩ කොටසක්,என்டேரகொட பகுதி,Sinhala
මුල්ලවත්ත කොටසක්,முல்லேவத்த,Sinhala
ආරෙවතුගොඩ,ஆரெவதுகொட,Sinhala
කැපුඇල පාර,கெபுஎல வீதி,Sinhala
ඩිඩිස් වත්ත,டிடிஸ் வத்த,Sinhala
පත්තිනි කුඹුර,பத்தினிகும்புர,Sinhala
තොටවත්ත,தொடவத்தை,Sinhala
උඩුවිටියන කොටසක්,உடுவிடியனஒரு பிரிவு,Sinhala
අරියල්පට්ටායිකුලම,அறியால்பிற்றாய்குளம்,Tamil
හෙනේගම,ஹேனெகம,Sinhala
එගොඩහවතුගොඩ,எகொடஹா வதுகொட,Sinhala
වල්වෙඩ්ඩි,வல்வெட்டி,Tamil
උස්වැල්ල,உஸ்வெல்ல,Sinhala
වුඩ්වඩ් මාවත,வுட்வட் மாவத்தை,Sinhala
හූරියහෙල,சூரியபொல,Sinhala
අනිච්චියන්කුලම් උතුර,அனிச்சியன்குளம் வடக்கு,Tamil
ඌව දික්අරාව මාතර හරිස්චන්ද්ර කොටස,ஊவ திகராவ மாதற ஹரிஸ்சந்திரபிரிவு,Sinhala
රඹුක්පොත,ரம்புக்பொத்த,Sinhala
ඉහල දංකැටිය කොටසක්,இகல தங்கெடிய,Sinhala
පතස්ගල,பகன்கல,Sinhala
තුඩුව,துடுவ,Sinhala
පුලාර් කුඩියිරුප්පු,புலவா்குடியிருப்பு,Tamil
එගොඩවත්ත,எகொடவத்த,Sinhala
සමගි මාවත,சமகி வத்த,Sinhala
හේවානිල,ஹெவனில,Sinhala
සුඩලයිපිට්ටි,சுடலைப்பிட்டி,Tamil
මීගහදෙනිය,மீகஹதெனிய,Sinhala
ඉඩමේගම,இடமேகம,Sinhala
ගල්බොක්ක,கல்பொக்க,Sinhala
තිස්සපුර,திஸ்ஸப்புர,Sinhala
බදුලුවෙල,பந்துலுவெல,Sinhala
නාරිගම කොටසක් (ගාලු පාර),நாரிகமயின் ஒரு பிரிவு ( காலிபாதை),Sinhala
කරුප්පනිච්චංකුළම්,கருப்பனிச்சங்குளம்,Tamil
කිළවිකුළම්,கிளவிகுளம்,Tamil
ආනන්ගොඩ,ஆனன்கொட,Sinhala
කොරකහවේල කොටසක්,கொரகஹவெல,Sinhala
පැලැන්ගහ,பெலென்கஹ,Sinhala
නාවට්කුළම්,நாவற்குளம்,Tamil
බකිණිගස්මඩ,பகினிகஸ்மட,Sinhala
හේනේගම,ஹேனெகம,Sinhala
උඩුවැල්ල කොටසක්,உடுவெல்ல ஒரு பிரிவு,Sinhala
කුරුගම,கூருகம,Sinhala
කහවින්න,கஹவின்ன,Sinhala
සබාපතිප්පිල්ලෙයි පාර,சுபாபதிப்பிள்ளை வீதி,Tamil
ජයවික්රම මාවත,ஜயவிக்ரம மாவத்த,Sinhala
එන්. වී. එෆ්. නාගරත්න මාවත,என்.வீ.எப். நாகரத்ன மாவத்தை,Sinhala
කන්දේආරාව,கந்தே அராவ,Sinhala
මොරගල්මුල්ල,மொரகல்முல்ல,Sinhala
කලවෙඩ්ඩිතිටල්,கலவேட்டித்திடல்,Tamil
බණ්ඩරවැව,பண்டார வெவ,Sinhala
මදුරාඔය,மதுரா ஓய,Sinhala
පන්නන්කණ්ඩි,பன்னங்கண்டி,Tamil
පුදුක්කුඩියිරුප්පු බස්නාහිර,புதுக்குடியிருப்புமேற்கு,Tamil
මැදදූව,மடதூவ,Sinhala
උණන,உனன,Sinhala
කඩේවත්ත,கடேவத்த,Sinhala
මැඩිල්ල,மெதில்ல,Sinhala
කුරවන්මෝට්ටෛ,குரவன்மோட்டை,Tamil
පිදේනිපිටිය,பிதெணிபிடிய,Sinhala
පනාගොඩ,பனாகொட,Sinhala
බන්ඩාරිගොඩ,பண்டாரிகொட,Sinhala
පරණ වායිකාල්,பழையவாய்க்கால்,Tamil
ඇල්ල,எல்ல,Sinhala
කාන්දි කිරාමම්,காந்தி கிராமம்,Tamil
පණ්ණාගම් කොටසක්,பன்னாகத்தின் ஒரு பிரிவு,Tamil
විටියලගොඩ,விட்டியலகொட,Sinhala
අතුඇල ඒ වත්ත,அத்துஎல A வத்த,Sinhala
පරණ පිටවෙළ,பரண பிடுவல,Sinhala
ලංකාමුල්ල,லங்காமுல்ல,Sinhala
දම්බිලිය,தும்மலகஹஹேன,Sinhala
උල්ලල මාස්මුල්ල එගොඩකුට්ටිය,உள்லல மாஸ்முல்ல எகொடகுட்டிய,Sinhala
ඇල්ල,எல்ல,Sinhala
කම්පන්සාඩ්ඩි,கம்பன்சாட்டி,Tamil
පෝරඹ,போரம்ப,Sinhala
දික්ගොඩ,திக்கொட,Sinhala
ගල්වැව,கல்வெவ ஹந்திய,Sinhala
තල්ලැයපුලම් (කොටස),தல்லையப்புலம் பகுதி,Tamil
ගොඩකොග්ගල්ල,கொடகொக்கல,Sinhala
කිංරෝස් (නෙලුව),கிங்ரோஸ்( நெலுவ),Sinhala
කලික්කාඩු,களிக்காடு,Tamil
කන්දෙගොඩ,கந்தேகொட,Sinhala
මුලත,முலத்த,Sinhala
සිතම්පරම්,சிதம்பரம்,Tamil
බතීගම නැගෙනහිර කොටසක්,பத்தீகம கிழக்கு (பிரிவு),Sinhala
වේරවිල්,வேரவில்,Tamil
පුංචිකන්ද,புன்சிகன்த,Sinhala
ගලපිටගල යාය,கலப்பிட்டிகல யாய,Sinhala
හෙලගම,எலகம,Sinhala
නයා පාමුල,நயாபாமுல,Sinhala
වරකාදණ්ඩ ගම,வரகதண்ட கம,Sinhala
කොටවාය,கொடவாய,Sinhala
කැටලකුඹුර,கெடலகும்புர,Sinhala
රිටිකුඹුර,ரித்திகும்புர,Sinhala
ඉදිගස්හේන කොටස,இதிகஸ்ஹேன பகுதி,Sinhala
යායගොඩ,யாயகொட,Sinhala
කැන්දගහහේන ජනපදය,கென்தகஹ ஹேன குடியிருப்பு,Sinhala
ආත්තීමෝඩ්ඩෛ,அத்திமோட்டை,Tamil
පරණවත්ත,பரணவத்தை,Sinhala
පුලියඩිමුරිප්පු,புளியடி முறிப்பு,Tamil
වෙරළුගහදූව,வெரலுகாதுவ,Sinhala
හික්කඩුව පාර කොටසක්,ஹிக்கடுவை வீதியின் ஒரு பிரிவு,Sinhala
අක්කර 20,அக்கர 20,Sinhala
ජයවික්රමපුර,ஜயவிக்ரமபுர,Sinhala
හතරවන හරස් වීදිය කොටසක් (දුම්රිය පොල පාර),நான்காம் குறுக்கு வீதி,Sinhala
බින්තැන්නවත්ත,பின்தென்ன தோட்டம்,Sinhala
දෙගම්පොත,தெகம்பொத,Sinhala
මුගමාලයි දකුණ,முகமாலை தெற்கு,Tamil
දික්හේන,திக்ஹேன,Sinhala
තලන්ගහහේන,தலங்கஹஹேன,Sinhala
පත්තානෙයි,பத்தானை,Tamil
කීරියගොල්ල නැගෙනහිර,கீரிய கொல்ல கிழக்கு,Sinhala
කඩ්ඩුපුලම්,கட்டுபுலம்,Tamil
කොහිලවත්ත,கொஹிலவத்த,Sinhala
සිතාන්පරපුරම්,சிதம்பரபுரம் வீ திட்டம்,Tamil
උච්චිල්,உச்சில்,Tamil
නිරුවත්තම්පෙයි,நிருவத்தம்பை,Tamil
පිලේකුඹුර,ஹபக்கல,Sinhala
මොරයාය දකුණ,மொரயாய தெற்கு,Sinhala
වැරැල්ලාන කොටසක්,வெரெல்லன,Sinhala
රත්මහර,ரத்மஹர,Sinhala
පොල්වත්ත කොටසක්,பொல்வத்த,Sinhala
කීනකැටිය,கீனகெடிய,Sinhala
වෙලිවයල්,வெள்ளிவயல்,Tamil
සුරියවෙඩ්ඩුකාඩු,சாம்ன் கட்டைக்காடு,Tamil
ගුවන්හමුදාකදවුර,விமானப்படை முகாம்,Sinhala
කණ්ණකෙයි අම්මන් කොවිලඩි,கண்ணகை அம்மண் கோவிலடி,Tamil
බෙලිගල්ලගොඩ,பெலிகல்கொட,Sinhala
අස්වැද්දුම,எஸ்ஸத்தும,Sinhala
ඉරාමාවිල්,இராமவில்,Tamil
රෙඩ්බානා,றெட்பானா,Tamil
බොරළුකඩ,பொரலுகட,Sinhala
සෙක්කඩිප්පුලවු,செக்கடிப்புலவு,Tamil
මහවීදිය කොටසක්,மஹவீதிய ஒரு பகுதி,Sinhala
මානෙල්ගල,மானெல்கல,Sinhala
ගොඩගම කොටසක්,கொடகமயின் ஒரு பிரிவு,Sinhala
කල්ගෙවත්ත,தல்கெவத்த,Sinhala
කණ්ණකෛපුරම් ප.වා.වී.දි,கண்ணகைபுரம் படித்த வாலிபா்திட்டம்,Tamil
බුරුතපාර ගම,புறுத்தவீதி கம,Sinhala
ගොඩල්ලපතන,கொடெல்ல பதன,Sinhala
උක්වත්ත,உக்வத்த,Sinhala
කලවිටිගොඩ,கலவிடிகொட,Sinhala
ගලදෙනිකන්ද,கலதெணிகந்த,Sinhala
නුර්කනි කුලම්,நுறணி குளம்,Tamil
බටෙහේන,பட்டேஹேன,Sinhala
වැලිහේනගොඩ,வெலிஹேனகொட,Sinhala
පුල්ලන්තික්කේණි,புலந்திக்கேணி,Tamil
දන්කුඹුර,தங்கும்புர,Sinhala
සඟබෝවත්ත,உளுவிடிகே,Sinhala
මොරගොඩ ඇල පාර,மொரகொட எல வீதி,Sinhala
කළුවළාකැටිය,கலுவெலாகெட்டிய,Sinhala
කැකුණවෙල කොටසක්,கெக்குனவெல பகுதி,Sinhala
හීන්නාරංගහකුඹුර,ஹீன்பரந்கஹ கும்புரயின் ஒருபிரிவு,Sinhala
කැළෑසියඹලාව,கலாசியபலாவ,Tamil
නාරද්දගෙවත්ත,நாரத்தகே வத்த,Sinhala
පොල්ලැව්ව,பொல்லெவ்வ,Sinhala
කරියල්වෙලි,கரியல் வெளி,Tamil
කරලින්ගොඩ,கரலின்கொட,Sinhala
බද්දේගම පාර,பத்தேகம வீதி,Sinhala
කඩ්ඩෛක්කාඩු,கட்டைக்காடு,Tamil
ලාල්පෙ,லால்ப்பே,Sinhala
දොළබොක්ක වත්ත,தோலபொக்க வத்த,Sinhala
වෝල්ඩ්මාර්වත්ත තුම්බැද්ද තොටසක්,வுல்ட்மர் வத்த - தும்பெத்த பிரிவு,Sinhala
කුඩාක්කනෙයිකොටසක්,குடக்கனயின் ஒரு பிரிவு,Tamil
කාක්කෛයර්පුලියංකුළම්,காக்கையா்புளியங்குளம்,Tamil
වැවගොල්ල වත්ත,வெவகொல்லவத்த,Sinhala
කොන්ඩල්පිලවු,கொண்டல்ப்பிலவு,Tamil
තුම්පළෙයි නැගෙනහිර,தும்பளை கிழக்கு,Tamil
මරියපුලම්,மாரியப்புலம்,Tamil
පින්වත්ත,பின்வத்த,Sinhala
පූජගල්ලෙන,பூஜா கல்லென,Sinhala
පෙරියපුලෝ,பெரியபலோ (சூலைபுரம் மேற்கு),Tamil
පූනොච්චී කුලම්,பூ நொச்சிகுளம்,Tamil
පුස්සගොඩ,புஸ்ஸகொட,Sinhala
අම්පනෙයි,அம்பனை,Tamil
රස්සන්විල,ராஜபன்வில,Sinhala
කනේසපුරම්,கணேசபுரம்,Tamil
මුතුගෝවාහේන,முதகோவஹேன,Sinhala
අගුල්මඩුව,அங்குல்மடுவ,Sinhala
අගම්පොඩිගොඩ,அகம்பொடிகொட,Sinhala
