Sinhala,Tamil,Class
හපුආරච්චිලාගේ ගයන්ති කෞශල්‍යයා චන්ද්‍රදාස හපුආරච්චි,ஹபுஆரச்சிலாகே கயந்தி கௌஷல்யா சந்திரதாச ஹபுஆரச்சி,Sinhala
දොඩන්දෙනියේ ගෙදර අකලංක මුතුකැළුම් ගුණරත්න,தொடன்தெனியே கெதர அகலங்க முத்துகெலும் குணரத்ன,Sinhala
දිසානායක අප්පුහාමිලාගේ චන්ද්‍රසිරි දිසානායක,திசாநாயக்க அப்புஹாமிலாகே சந்திரசிரி திசாநாயக்க,Sinhala
පණ්ඩිත සුන්දර ආරච්චිලාගේ සුපුන් ධනංජය ආරච්චි,பண்டித சுந்தர ஆராச்சிலாகே சுபுன் தனன்ஜய ஆராச்சி,Sinhala
රාමනායක මුදියන්සේලාගේ ප්‍රියන්කා රාමනායක,ராமநாயக்க முதியன்சேலாகே பிரியங்கா ராமநாயக்க,Sinhala
රණසිංහ ආරච්චිගේ අසංඛ සිරිකාන්ත පෙරේරා,ரணசிங்ஹ ஆரச்சிகே அசங்க சிரிகாந்த பெரேரா,Sinhala
තිත්තගල්ල ගමගේ සමීර මධුසංක,தித்தகல்ல கமகே சமீர மதுசங்க,Sinhala
ගාල්ල පතිරනගේ ‍ප්‍රියන්ත,கால்ல பத்திரனகே பிரியந்த,Sinhala
රාජපක්ෂ මුදියන්සේලාගේ රම්‍යප්ප්‍රිය රාජපක්ෂ,ராஜபக்ஷ முதியன்சேலாகே ரம்யப்பிரிய ராஜபக்ஷ,Sinhala
රත්නායක මුදියන්සේලාගේ චන්ද්‍රාවතී,ரத்நாயக்க முதியன்சேலாகே சந்திராவதி,Sinhala
ජයසුන්දර මුදියන්සේලාගේ පේමලතා,ஜயசுந்தர முதியன்சேலாகே பேமலதா,Sinhala
තිරුපති සුදාහරන්,திருப்பதி சுதாஹரன்,Tamil
ජයකොඩිගේ නිලන්ති,ஜயகொடிகே நிலந்தி,Sinhala
වීරකෝන් මුදියන්සේලාගේ ශ්‍යාමලී ශාන්තිලතා වීරකෝන්,வீரகோன் முதியன்சேலாகே ஷியாமலி ஷாந்திலதா வீரகோன்,Sinhala
කාරියකරවනගේ හැරටි පේමචන්ද්‍ර,காரியகரவனகே ஹெரட் பேமசந்திர,Sinhala
රන් අරුම්ගේ ආරියදාස,ரன் அரும்கே ஆரியதாச,Sinhala
හේවා පතරනලාගේ නදීකා එරංගි චන්දිමා,ஹேவா பதரனலாகே நதீகா எரங்கி சந்திமா,Sinhala
පොන්නයියා සන්දනම්,பொன்னையா சந்தனம்,Tamil
නානායක්කාර ගමගේ කිසල්කා හරින්දි,நானாயக்கார கமகே கிசல்கா ஹரிந்தி,Sinhala
දිසානායක මුදියන්සේලාගේ දයානන්ද,திசானாயக்க முதியன்சேலாகே தயானந்த,Sinhala
රාජා ජෙයකුමාර්,ராஜா ஜெயகுமார்,Tamil
මොහොමඩ් රිස්වි ෆාතිමා සෆ්රා,முகம்மட் ரிஸ்வி பாத்திமா ஸப்ரா,Muslim
වත්තගේ දිනූෂා සංජීවනී කුළසේකර,வத்தகே தினூஷா சஞ்ஜீவனி குலசேகர,Sinhala
ක්‍රිස්ටීන් තේවරාණි,கிறிஸ்டீன் தேவராணி,Tamil
බංගමුහේවා අප්පු ආරච්චිගේ කුලරත්න,பங்கமுஹேவா அப்பு ஆராச்சிகே குலரத்ன,Sinhala
මොහමඩ් ෆාතීමා සහානා,முகம்மட் பாத்திமா சஹானா,Muslim
වන්නිආච්චි කංකානම්ගේ සුමනාවතී,வன்னியாரச்சி கங்கானம்கே சுமணாவதி,Sinhala
ලේල්වල ගුරුගේ චමිල් පන්ඩුල,லேல்வல குருகே சமில் பன்டுல,Sinhala
මාපලගම හේවා මානගේ නාලක ගුණෙත්චන්ද්‍ර,மபாலகம ஹேவா மானகே நாலக குநெத்சன்திர,Sinhala
හෙට්ටි ආරච්චිගේ දයාවතී,ஹெட்டி ஆரச்சிகே தயாவதி,Sinhala
කුරුපනා ගමගේ සරත්චන්ද්‍ර,குருபனா கமகே சரத்சநதிர,Sinhala
ගල්කිස්සගේ ගුණරත්න,கல்கிஸ்ஸகே குணரத்ன,Sinhala
කුලසේකර මුදියන්සේලාගේ දිවුල්ගහමඩ ගෙදර චන්දන බණ්ඩාර කුලසේකර,குலசேகர முதியன்சேலாகே திவுல்கஹமட கெதர சந்தன பண்டார குலசேகர,Sinhala
දිසානායක මුදියන්සේලාගේ ශ්‍රීයාවති,திசாநாயக்க முதியன்சேலாகே ஸிரீயாவதி,Sinhala
මාතර හේනසිංහ ආරච්චිලාගේ තිස්ස කුමාර,மாதர ஹேனசிங்க ஆரச்சிலாகே திஸ்ஸ குமார,Sinhala
කළුබදනගේ කමලාවතී,களுபதனகே கமலாவதி,Sinhala
කොඩිතුවක්කු මද්දෙගේ පියතිස්ස,கொடிதுவக்கு மத்தெகே பியதிஸ்ஸ,Sinhala
වන්නිනායක මුදියන්සේලාගේ වරුණ සමන් කුමාර වන්නිනායක,வன்னினாயக முதியன்சேலாகே வருன சமன் குமார வன்னினாயக,Sinhala
මලිදුව ලියනගේ දිනේෂ් රංග සමීර,மலிதுவ லியனகே தினேஷ் ரங்க சமீர,Sinhala
දඩල්ලගේ ගුණරත්න,தடல்லாகே குணரத்ன,Sinhala
හේවා වලිමුනිගේ නිමල්,ஹேவா வலிமுனிகே நிமல்,Sinhala
දියගු ආරච්චිගේ නන්දන කාන්ති,தியகு ஆரச்சிகே நந்தன காந்தி,Sinhala
පිටිදුව ගමගේ මංගල කුමාර,பிடிதுவ கமகே மங்கல குமார,Sinhala
කුමසාරුගේ සැමී ජිනසේන,குமசாருகே செமீ ஜினசேன,Sinhala
අහමදු ලෙබ්බේ නිස්තාර්,அஹமது லெவ்வை நிஸ்தார்,Muslim
ආරුමුගම් තුරෙයිසිංගම්,ஆறுமுகம் துரைசிங்கம்,Tamil
සලමන් හෙට්ටිගේ රත්නසේකර,சலமன் ஹெட்டிகே ரத்னசேகர,Sinhala
බ්‍රාහ්මණගේ දොන් නිම්මි ලකීෂා කුමාරි,பிராக்மணகே தொன் நிம்மி லகீஷா குமாரி,Sinhala
රත්නායක මුදියන්සේලාගේ දිලිනි සකුන්සලා,ரத்னாயக்க முதியன்சேலாகே திலினி சகுன்சலா,Sinhala
මදියලගන් පුගල ලොජිනී,மதியழகன் புகழ லோஜினி,Sinhala
ලෙච්චුමන් රූබිනි,லெட்சுமன் ரூபினி,Muslim
තෙල්හවඩි දුරයලාගේ චමින්ද ප්‍රසංග,தெல்ஹடி துரயலாகே சமிந்த பிரசங்க,Sinhala
ධර්මරාජ රගුපදී,தர்மராஜ் ரகுபதி,Sinhala
රත්නායක මුදියාන්සේලාගේ හර්ෂ මධුෂාන් රත්නායක,ரத்நாயக்க முதியன்சேலாகே ஹர்ஷ மதுஸான் ரத்நாயக்க,Sinhala
ජෙයකාන්තන් සන්ජේ,ஜெயகாந்தன் சஞ்ஜே,Tamil
වික්‍රම ආරච්චිලාගේ දොන් දිලීප් සඳරුවන් වික්‍රමසිංහ,விக்கிரம ஆரச்சிலாகே தொன் திலீப் சந்தருவன் விக்ரமசிங்க,Sinhala
සුමිත්‍රා කල්‍යාණි ජයවර්ණ ආරච්චි,சுமித்ரா கல்யாணி ஜயவர்ண ஆரச்சி,Sinhala
ලන්දේගේ අජීත් චමින්ද ප්‍රියදර්ශන,லன்தேகே அஜித் சமிந்த பிரியதர்ஷன,Sinhala
කරුප්පන් සාන්ත දේවන්,கருப்பன் சாந்த தேவன்,Tamil
රත්නායක මුදියාන්සේලාගේ රවිඳු බිම්සර සහන් විජේරත්න,ரத்நாயக்க முதியன்சேலாகே ரவிந்து பிம்சர சகான் விஜேரத்ன,Sinhala
නිලාන් සඳරුවන් පරණවිතාන,நிலான் சந்தறுவன் பரணவிதான,Sinhala
දොන් විමලරත්න අබේසේකර,தொன் விமலரத்ன அபேசேகர,Sinhala
හෙට්ටි ආරච්චිගේ ශ්‍රීයානි,ஹெட்டி ஆரச்சிகே சிரியாணி,Sinhala
කොලඹ තන්ත්‍රිගේ කසුන් ප්‍රසාද් පෙරේරා,கொலம்ப தந்த்ரீகே கசுன் பிரசாத் பெரேரா,Sinhala
පුල්හිරි හේනයලාගේ සුගත් එරන්ද බාලසූරිය,புல்கிரி ஹேனயலாகே சுகத் எரந்த பாலசூறிய,Sinhala
මුණසිංහ ආරච්චි ලේකම්ලාගේ රංජිත් මුණසිංහ,முனசிங்க ஆரச்சி லேகம்லாகே ரஞ்ஜித் முனசிங்க,Sinhala
හීනටිගල ඉන්ද්‍රවංශ හිමි,ஹீனடிகல இந்திரவங்ச ஹிமி,Sinhala
මාඩසාමි ලෙට්චුමනන්,மாடசாமி லெட்சுமணன்,Muslim
ඇවඩුගේ මිවඩුවේ සෝමරත්න,எவடுகே மேவடுமே சோமரத்ன,Sinhala
අමුගොඩ කංකානම්ගේ නාලිනි,அமுகொட கங்கானம்கே நாலினி,Sinhala
බාලචන්ද්‍රම් මුත්තම්මා,பாலசந்திரம் முத்தம்மா,Tamil
වෙඩිසිංහ ආරච්චිලාගේ පූර්නිමා ශාණිජයලත් වෙඩිසිංහ,வெடிசிங்க ஆராச்சிலாகே பூர்ணிமா ஷாணிஜயலத் வெடிசிங்க,Sinhala
කලුවාහන්දි අජිත් කුමාර ද සිල්වා,கலுவாஹந்தி அஜித் குமார டி சில்வா,Sinhala
දසනායකගේ දිනූෂා මධුෂානි,தசநாயக்ககே தினுஷா மதுஷானி,Sinhala
දේගිරි අජන්තා මනෝහරි ද සොයිසා,தெகிரி அஜந்தா மனோகரி டி சொய்சா,Sinhala
ජයසුන්දර මුදියන්සේලාගේ නන්දන නිශාන්ත උපාලි බණ්ඩාර,ஜயசுந்தர முதியன்சேலாகே நந்தன நிசாந்த உபாலி பண்டார,Sinhala
පරනගේ ලෝෂනි යසෝදා නවරත්න,பரணகே லோஷனி யசோதா நவரத்ன,Sinhala
ආර් . එම් . ධර්මකීර්ති නන්දන ප්‍රේමලාල් ලොකුබණ්ඩාර රත්නායක,ஆர் . எம் . தர்மகீர்த்தி நந்தன பிரேமலால் லொகுபண்டார ரத்நாயக,Sinhala
ජෝශප් අනුෂා,ஜோஸப் அனுஷா,Sinhala
බාලසූරිය මුදියන්සේලාගේ චාලුක කසුන් බාලසූරිය,பாலசூரிய முதியன்சேலாகே சாளுக கசுன் பாலசூரிய,Sinhala
කොනකලකල ගෙදර ශනිල්ක මදුශාන් අමරතුංග,கொனகலகல கெதர ஷனில்க மதுஸான் அமரதுங்க,Sinhala
හෙට්ටි හේවගේ නිමේෂා සෙව්වන්දි,ஹெட்டி ஹேவகே நிமேஷா செவ்வந்தி,Sinhala
සුබ්‍රමනියම් ග්‍රේස් රන්ජිතම්,சுப்பிரமணியம் கிறேஸ் ரஞ்ஜிதம்,Tamil
ජෙයදාස් රූපමාලා,ஜெயதாஸ் ரூபமாலா,Sinhala
ගල්ගමුගේ සමිත් ඉන්දික සිල්වා,கல்கமுகே சமித் இந்திக சில்வா,Sinhala
රන්පටි දේවයලාගේ වසන්ත කුමාර,ரன்பட்டி தேவயலாகே வசந்த குமார,Sinhala
විජ්ජාපති මුත්තලාගේ කුසුම් කල්යානි,விஜ்ஜாபதி முத்தலாகே குசும் கல்யாணி,Sinhala
බුලත්සිංහලගේ දෝන තරංගිකා නදීශානි බුලත්සිංහල,புலத்சிங்களகே தோன தரங்கிகா நதீஷானி புலத்சிங்கள,Sinhala
මුතුවීරන් සරස්වති ආරුමුගම්,முத்துவீரன் சரஸ்வதி ஆறுமுகம்,Tamil
රාජපක්ෂ මුදියන්සේලාගේ රත්නායක,ராஜபக்ச முதியன்சேலாகே ரத்நாயக,Sinhala
අදිකාරිමුදියන්සේලාගේ චන්ද්‍රවති අදිකාරි මැණිකේ,அதிகாரிமுதியன்செலாகே சந்திரவதீ அதிகாரி மெனிகே,Sinhala
මේරි ෆ්‍රාන්සිස් ඈන් රෝසින් පිරිස්,மேரி பிரான்சிஸ் ஆன் றோசின் பீரிஸ்,Sinhala
වීබැද්දෙ වීරකෝන් මුදියන්සේලාගේ අයිරංගනී,வீபெத்தெ வீரகோன் முதியன்சேலாகே ஐரங்கனி,Sinhala
අසරප්පුලිගේ සුමුදු ශ්‍යාමින්ද කුමාර,அசரப்புலிகே சுமுது ஸ்யாமிந்த குமார,Sinhala
දහනක රාල්ලාගේ සදුන් මලිති බණ්ඩාර,தகனக ரால்லாகே சந்துன் மலிதி பண்டார,Sinhala
කෝනාර මුදියන්සේලාගේ කපිල නිශාන්ත ජයසුන්දර,கோனார முதியன்சேலாகே கபில நிசாந்த ஜயசுந்தர,Sinhala
රාහුබද්දෙ කන්කානම්ගේ ප්‍රවීන් විනුර ද සිල්වා,ராகுபத்தெ கங்கானம்கே பிரவீன் வினுர டி சில்வா,Sinhala
කළු ආරච්චිලාගේ නිෂාදී කාංචනා කලුආරච්චි,களு ஆரச்சிலாகே நிஷாதி காஞ்சனா களுஆரச்சி,Sinhala
පියදාසගේ පියරත්න,பியதாசகே பியரத்ன,Sinhala
වනසිංහ ආරච්චිගේ දොන් අනෝජා නිෂානි,வனசிங்க ஆரச்சிகே தொன் அனோஜா நிஷானி,Sinhala
මඩුගෙ දුරගේ ඥාණවති,மடுகெ துரகே ஞானவதி,Sinhala
වල්ලිවල ගමගේ ඉනුරි උමාෂා,வல்லிவல கமகே இனுரி உமாஷா,Sinhala
මොහම්මදු නසීර් ෆාතිමා සහානාබානු,மொஹம்மது நசீர் பாத்திமா சஹானாபானு,Muslim
හාතාදුර ෂෙහානි අරලියා සිල්වා,ஹாதாதுர ஷெஹானி அரலியா சில்வா,Sinhala
ඉම්බුල්ගොඩ හේවගේ වජිර ලක්මාල්,இம்புல்கொட ஹேவகே வஜிர லக்மால்,Sinhala
රන්කොත් ගෙදර ධවලා පියකරු උදයංගනී ආරියදාස,ரன்கொத் கெதர தவலா பியகரு உதயங்கனி ஆரியதாச,Sinhala
කූරගොඩගේ සදුනී ඉෂාරා සෙව්වන්දි,கூரகொடகே சந்துனி இஷாரா செவ்வந்தி,Sinhala
යපාමුදියන්සේලෑ කුඹුරේ ගෙදර අතුල බණ්ඩාර,யாபாமுதியன்சேல குபுரே கெதர அதுல பண்டார,Sinhala
වෙල්ගම ලියනගේ රුවිනි නිලංකා,வெல்கம லியனகே ருவினி நிலங்கா,Sinhala
සෙල්ලතුරයි තිරේෂා,செல்லத்துரை திரேசா,Tamil
ලිහිණිය කුමාරගේ තිලාන් වර්ණජිත් පෙරේරා,லிகிணிய குமாரகே திலான் வர்ணஜித் பெரேரா,Sinhala
කිට්නසාමි ක්‍රිෂ්ණා,கிட்ணசாமி கிருஷ்ணா,Tamil
නන්නපුරාවේ සුදර්මාරම හිමි,நன்னபுராவே சுதர்மராம தேரர்,Sinhala
සෙයිනුදීන් රිහාල්,செய்னுதீன் ரிஹால்,Muslim
ආරුමුගම් පත්මනාදන්,ஆறுமுகம் பத்மநாதன்,Tamil
සිංගප්පුලිගේ ෂලිත සංජීව,சிங்கப்புலிகே ஷலித சன்ஜீவ,Sinhala
සමන්ත ප්‍රසාද් මීගහපල,சமந்த பிரசாத் மீகஹபல,Sinhala
වත්තේගෙදර රාලලාගේ ශෂික ලක්මාල් මධුවංශ සෙනෙවිරත්න,வத்தேகெதர ராலலாகே சஷிக லக்மால் மதுவங்ச செனவிரத்ன,Sinhala
අශෝක් කුමාර් අශෝක් බවන්,அஷோக் குமார் அஷோக் பவன்,Sinhala
මුතුතන්ත්‍රිගේ චමින්ද සම්පත් පෙරේරා,முத்துதந்திரிகே சமிந்த சம்பத் பெரேரா,Sinhala
ප්‍රැන්සිස්කු බදුගේ දේවාංගනි දිෂ්නුකා ද සිල්වා,பிரென்ஸிஸ்கு பதுகே தேவாங்கனி திஷ்னுகா டி சில்வா,Sinhala
ලෙවන්ගමගේ චන්ද්‍රදාස,லெவன்கமகே சந்ரதாச,Sinhala
කලුපේ කර්ලැයින්,கலுப்பே க்ளரைன்,Sinhala
නාකන්දලගේ ශෂික නෙරංග චතුමාල්,நாகந்தலகே ஸஷிக நெரங்க சதுமால்,Sinhala
දිනයාදුර ඕෂධී කුමාරනන්ද සිරිවර්ධන,தினயாதுர ஓஷதீ குமாரனந்த சிறிவர்தன,Sinhala
මහදුරගේ තාරකා හර්ෂනී තිලකරත්න,மகதுரகே தாரகா ஹர்ஷனி திலகரத்ன,Sinhala
වින්සෙන්ට් මයිකල් නියුමන් ඥානතීපන්,வின்சென்ற் மைக்கல் நியூமன் ஞானதீபன்,Sinhala
අබයකෝන් මුදියන්සේලාගේ පුන්චි බණ්ඩා,அபயகோன் முதியன்சேலாகே புஞ்சி பண்டா,Sinhala
ලියනගුණවර්ධන සුධීර,லியனகுனவர்தன சுதீர,Sinhala
දේමුනි නාලක ශ්‍රීමාල් ද සිල්වා,தேமுனி நாலக ஸ்ரீமால் டி சில்வா,Sinhala
කෙහෙල්කඩුව විතානගේ තක්ෂිලා මධුවන්ති ප්‍රියදර්ශනී,கெஹல்கடுவ விதானகே தக்ஷிலா மதுவந்தி பிரியதர்ஷனி,Sinhala
හෙට්ටි ආරච්චිගේ උදේෂා දිල්ෂානි ප්‍රනාන්දු,ஹெட்டி ஆரச்சிகே உதேஷா தில்ஷானி பெர்னான்டோ,Sinhala
මුදුරුක් මෙහර් ෆාතිමා ආෂා,முதுருக் மெஹர் பாத்திமா ஆஷா,Muslim
රාජපක්ෂමිණිමුතුපතිරන්නහැලාගේ ගීතා වේලතන්ත්‍රි,ராஜபக்ஷமிணிமுத்துபத்திரன்னஹேலாகே கீதா வேலதந்திரி,Sinhala
දොඹගහ පතිරගේ ජගත් සර්ධාමංගල පීරිස්,தொம்பகஹ பத்திரகே ஜகத் சர்தாமங்கல பீரிஸ்,Sinhala
අත්තනගොඩ කංකානමලාගේ ශ්‍රීමතී,அத்தனகொட கங்கானமலாகே ஸிரீமதி,Sinhala
කොඩිතුවක්කුකාරගේ හර්ෂ පුන්සිරි කොඩිතුවක්කුකාරගේ,கொடிதுவக்குகாரகே ஹர்ஷ புன்சிரி கொடிதுவக்குகாரகே,Sinhala
බුද්ධික ප්‍රභාත් වැලිකල,புத்திக்க பிரபாத் வெலிகல,Sinhala
ඇන්තනි ලසිත නිර්මාල් ද අල්විස්,அன்ரனி லசித்த நிர்மால் டி அல்விஸ்,Sinhala
ඩෝසන් පීටර් මාලනී,டோசன் பீட்டர் மாலனி,Sinhala
රොහාන් නිර්ගන් නානායක්කාර,ரோஹான் நிர்கன் நானாயக்கார,Sinhala
සන්තිරසේකරරාසා සුදේෂනා,சந்திரசேகரராசா சுதேஷனா,Sinhala
පොන්නම්පෙරුම ආරච්චිගේ රසික ප්‍රසන්න දේශප්‍රිය,பொன்னம்பெரும ஆராச்சிகே ரசிக பிரசன்ன தேஷபிரிய,Sinhala
හල්නෙත්ති රුවනි ශෂිකා සිල්වා,ஹல்தெத்தி ருவனி ஷசிகா சில்வா,Sinhala
හෙට්ටිආරච්චිගේ දොන් පියදාස,ஹெட்டிஆரச்சிகே தொன் பியதாச,Sinhala
හෙට්ටියාදුර විවියන් ප්‍රනාන්දු,கெட்டியாதுர விவியன் பிரநாந்து,Sinhala
උඩුවර මෙරෙඤ්ඤගේ ඉමල් උත්පල සිල්වා,உடுவர மெரெஞ்ஞகே இமல் உத்பல சில்வா,Sinhala
සෙම්බකුට්ටිගේ චාමන්ති සඳමාලි කුලතිලක,செம்பகுட்டிகே சாமந்தி சந்தமாலி குலதிலக,Sinhala
හද්දාවේ ගෙදර රෝහිත දිලිප් කුමාර සේනාධීර,ஹந்தாவே கெதர ரோஹித திலிப் குமார சேனாதீர,Sinhala
හසන් මෞපිර්,ஹசன் மௌபிர்,Muslim
ලද්දසිංහ සෙම්බුකුට්ටි ආරච්චිගේ හිමේෂා ගිම්හානි නන්දසේන,லத்தசிங்க செம்புகுட்டி ஆரச்சிகே ஹிமேஷா கிம்கானி நந்தசேன,Sinhala
මිල්ලගේ පියසීලි ප්‍රනාන්දු,மில்லகே பியசீலி பிறணாந்து,Sinhala
ජයවර්ධන මුදියන්සේලාගේ මලිත් උදයංක ජයවර්ධන,ஜயவர்த்தன முதியன்சேலாகே மலித் உதயங்க ஜயவர்த்தன,Sinhala
හෙට්ටිකන්දෙ ගම්ලත් රාළලාගේ ප්‍රදීප් සම්පත් සිරියාරත්න,ஹெட்டிகந்தெ கம்லத் ராலலாகே பிரதீப் சம்பத் சிரியாரத்ன,Sinhala
කනගසබෙයි ලෝගේෂ්වරී,கனகசபை லோகேஸ்வரி,Tamil
මොහමඩ් මර්සුක් මොහමඩ් මසානි,முகம்மட் மர்சுக் முகம்மட் மசானி,Muslim
අබ්දුල් රසාක් මොහොමඩ් රොක්ෂාන්,அப்துல் ரசாக் முகம்மட் ரொக்ஷான்,Muslim
මොහමඩ් අෂීක් සෙහ්රානා,முகம்மட் அஷிக் சென்ரானா,Muslim
ලොරෙටා මල්ලවආරච්චි,லொரெடா மல்லவஆரச்சி,Sinhala
එදිරිසිංහ ආරච්චිලාගේ චන්දිම ප්‍රසාද් ජයලත්,எதிரிசிங்க ஆரச்சிலாகே சந்திம பிரசாத் ஜயலத்,Sinhala
සම්පත් වික්‍රමරත්න,சம்பத் விக்கிரமரத்ன,Sinhala
වන්නි ආරච්චිගේ ශිරෝමා ප්‍රියදර්ශනී ෆොන්සේකා,வன்னி ஆரச்சிகே ஷிரோமா பிரியதர்ஷனி பொன்சேகா,Sinhala
පෙරුමාල් නිරංජනී,பெருமாள் நிரஞ்ஜனி,Tamil
විදාන ගමගේ නිහාල් කුමාර,விதான கமகே நிஹால் குமார,Sinhala
විජයානන්දන් තජානි,விஜயானந்தன் கஜானி,Tamil
වේහැල්ලගේ තිලකා චන්ද්‍රලතා,வேகெல்லாகே திலகா சந்திரலதா,Sinhala
ගජේන්ද්‍රසිංහ මුදියන්සේලාගේ වේලාතේගේ රුවන්කුමාර ඉලංගරත්න,கஜேந்திரசிங்க முதியன்சேலாகே வேலாதேகே ருவன்குமார இலங்கரத்ன,Sinhala
නානායක්කාර අප්පුගේ සුරේෂ් සඳරුවන්,நாணாயக்கார அப்புகே சுரேஷ் சந்தருவன்,Sinhala
පේදුරුසිංහගේ ‍ප්‍රියන්ත පේදුරුසිංහ,பேதுருசிங்ககே பிரியந்த பேதுருசிங்க,Sinhala
අනුර මුණසිංහගේ ලක්ශාන්ත යසස් ශ්‍රී මුණසිංහ,அனுர முனசிங்ஹகே லக்ஷாந்த யஸஸ் ஸ்ரீ முனசிங்ஹ,Sinhala
චන්ද්‍රිකා කුසුම් කුමාරි ජෝරිස් එදිරිසිංහ,சந்திரிகா குசும் குமாரி ஜோரிஸ் எதிரிசிங்க,Sinhala
යමන්ගේ කරුණාවන්ත චම්පා,யமங்கே கருணாவந்த சம்பா,Sinhala
ගොඩිගමුවේ රාලලාගේ ගුණතිලක,கொடிகமுவே ராலலாகே குணதிலக,Sinhala
රාහුල අනුරුද්ධ දිසානායක,ராகுல அனுருத்த திசாநாயக்க,Sinhala
නිශ්ශංක ආරච්චිගේ දොන් ලියෝ සුනිල්,நிஷங்க ஆரச்சிகே தொன் லியோ சுனில்,Sinhala
මැනිල් ගුණතිලකගේ ක්ලෝඩ් ඩයස් වසන්ත ගුණතිලක,மனில் குணதிலககே க்லோட் டயஸ் வசந்த குணதிலக,Sinhala
ගුනපාල නිමල් සාන්ත,ஞானபாலகே நிமல் சாந்த,Sinhala
සේරසිංහ පතිරණලාගේ ශාලිත්‍යා ශානිකා සම්මානි පතිරණ,சேரசிங்க பதிரனலாகே ஷாலித்யா ஷானிகா சம்மானி பதிரன,Sinhala
මල්ලව ආරච්චිලාගේ සුනේත්‍රා ජයකාන්ති,மல்லவ ஆரச்சிலாகே சுனேத்ரா ஜயகாந்தி,Sinhala
සමරසිංහ නිමල් රංජිත්,சமரசிங்க நிமல் ரஞ்ஜித்,Sinhala
නෙත්තිකුමාරගේ ජැස්ටින් අප්පුහාමි,தெத்திகுமாரகே ஜெஸ்ரின் அப்புஹாமி,Sinhala
හේවා පතිරන්නැහැලාගේ නිරෝෂා නෙලුම් කුමාරි ජයකොඩි,ஹேவா பதிரன்னெகெலாகே நிரோஷா நெலும் குமாரி ஜயகொடி,Sinhala
ආරියරත්න දිසානායක,ஆரியரத்ன திசாநாயக்க,Sinhala
මොහම්මදු රසීදා අන්වර් දීන්,மொஹம்மது ரசீதா அன்வர் தீன்,Muslim
පියදාසගේ වසන්ත කුමාර,பியதாசகே வசந்த குமார,Sinhala
උඩුවේ බත්ගම ලියන කංකානම්ගේ නිලන්ත,உடுவே பத்கம லியன கங்கானம்கே நிலந்த,Sinhala
මනම්පේරිගේ දොන් චන්දන ශ්‍රීලාල්,மனம்பேரிகே தொன் சந்தன ஸ்ரீலால்,Sinhala
අබ්දුල් මුතාලිෆ් මොහමඩ් ෆයාස්,அப்துல் முதலிப் முஹம்மது பயஸ்,Muslim
වනේ කටුවේ අලුත් ගෙදර නන්දන,வனெ கடுவெ அலுத் கெதர நந்தன,Sinhala
සේදාරි මුදියාන්සේලාගේ ජයන්තලාල් සමරකෝන්,செதறி முதியன்சேலாகே ஜயன்தலால் சமரகோன்,Sinhala
රත්නායක මුදියන්සේලාගේ ලක්ෂිකා නයෝමී රත්නායක,ரத்நாயக்க முதியன்சேலாகே லக்ஸிகா நயோமி ரத்நாயக்க,Sinhala
රාජපක්ෂ අප්පුහාමිලාගේ ලක්මාල් බුද්ධික,ராஜபக்ஷ அபபுஹாமிலாகே லக்மால் புத்திக,Sinhala
දැඩිගම ආරච්චිගේ ශ්‍රීමති ඩයස්,தெடிகம ஆரச்சிகே சிரீமதி டயஸ்,Sinhala
නාරගල්පිටිය මොහොට්ටාලලාගේ සන්ධ්‍යා හේමන්ති සේනානායක,நாரகல்பிடிய மொகொட்டால்லாகே சந்தியா ஹேமன்தி சேனானாயக,Sinhala
ලොකු ලියන වඩුගේ නීටා පෙරේරා,லொகு லியன வடுகே நீடா பெரேரா,Sinhala
වීරහැන්නැදිගේ කේෂලා මධුෂිණි,வீரஹென்னெதிகே கேஷலா மதுஸினி,Sinhala
වන්නි අච්චි කංකානමලාගේ ප්‍රේමරත්න,வன்னி அச்சி கங்கானமலாகே பிரேமரத்ன,Sinhala
මොහමඩ් මුස්තාපා මන්සුර්,மொகமத் முஸ்தபா மன்சுர்,Muslim
අමරතුංග ආරච්චිලාගේ ධම්මික නිශාන්ත,அமரதுங்க ஆரச்சிலாகே தம்மிக நிசாந்த,Sinhala
ජුවන්ගේ ‍ප්‍රියන්තා නිමල් ශාන්ත,ஜுவன்கே பிரியந்த நிமல் ஸாந்த,Sinhala
දනන්සූරිය ආරච්චිලාගේ ජනිත් විමුක්ති දනන්සූරිය,தனன்சூரிய ஆரச்சிலாகே ஜனித் விமுக்தி தனன்சூரிய,Sinhala
මොහමඩ් ඉබ්‍රාහීම් සිෆාන්,முகம்மது இப்றாகீம் சிபான்,Muslim
මොල්ලිගොඩ මොහොට්ටාලලාගේ ඊබට් පෙරේරා,மொல்லிகொட மொகொட்டாலலாகே ஈபர்ட் பெரேரா,Sinhala
අමරසිංහ කංකානම්ගේ ප්‍රියංගා ඉරෝෂනී අමරසිංහ,அமரசிங்ஹ கங்கானம்கே பிரியங்கா இரோஷனீ அமரசிங்க,Sinhala
දේවගේ අයේෂා මධුවන්ති,தேவகே அயேஷா மதுவந்தி,Sinhala
මොහමඩ් සහබ්දීන් මොහමඩ් ඉල්මුදීන්,முஹம்மட் சகப்தீன் முஹம்மட் இல்முதீன்,Muslim
